Date,Open,High,Low,Close,Adj Close,Volume
1/9/2020,0.155000,0.160000,0.150000,0.160000,0.160000,9343800
1/10/2020,0.165000,0.165000,0.150000,0.155000,0.155000,6049800
1/13/2020,0.155000,0.160000,0.150000,0.150000,0.150000,6674600
1/14/2020,0.150000,0.150000,0.140000,0.145000,0.145000,4485900
1/15/2020,0.145000,0.145000,0.140000,0.140000,0.140000,3904900
1/16/2020,0.140000,0.150000,0.135000,0.140000,0.140000,6980600
1/17/2020,0.145000,0.145000,0.135000,0.140000,0.140000,3575800
1/20/2020,0.140000,0.140000,0.135000,0.135000,0.135000,2839600
1/21/2020,0.135000,0.145000,0.130000,0.135000,0.135000,8428200
1/22/2020,0.140000,0.140000,0.130000,0.135000,0.135000,2877200
1/23/2020,0.140000,0.145000,0.135000,0.140000,0.140000,4374600
1/24/2020,0.135000,0.140000,0.135000,0.140000,0.140000,935900
1/28/2020,0.135000,0.135000,0.125000,0.125000,0.125000,3354900
1/29/2020,0.130000,0.135000,0.125000,0.130000,0.130000,3777800
1/30/2020,0.130000,0.135000,0.125000,0.125000,0.125000,1720800
1/31/2020,0.125000,0.130000,0.115000,0.115000,0.115000,2950300
2/3/2020,0.115000,0.115000,0.100000,0.110000,0.110000,10586000
2/4/2020,0.110000,0.120000,0.105000,0.115000,0.115000,5426800
2/5/2020,0.110000,0.130000,0.110000,0.125000,0.125000,10561400
2/6/2020,0.130000,0.135000,0.125000,0.130000,0.130000,3486300
2/7/2020,0.130000,0.130000,0.115000,0.120000,0.120000,3949000
2/10/2020,0.115000,0.120000,0.110000,0.120000,0.120000,1153100
2/11/2020,0.115000,0.120000,0.115000,0.115000,0.115000,634600
2/12/2020,0.115000,0.120000,0.115000,0.115000,0.115000,1239000
2/13/2020,0.115000,0.120000,0.115000,0.120000,0.120000,840000
2/14/2020,0.115000,0.125000,0.115000,0.120000,0.120000,2893600
2/17/2020,0.120000,0.125000,0.115000,0.115000,0.115000,976800
2/18/2020,0.120000,0.120000,0.110000,0.110000,0.110000,1496800
2/19/2020,0.115000,0.115000,0.110000,0.115000,0.115000,573200
2/20/2020,0.115000,0.115000,0.110000,0.115000,0.115000,548300
2/21/2020,0.115000,0.115000,0.110000,0.115000,0.115000,1227800
2/24/2020,0.110000,0.110000,0.105000,0.110000,0.110000,1889700
2/25/2020,0.105000,0.110000,0.100000,0.105000,0.105000,1731200
2/26/2020,0.110000,0.110000,0.105000,0.110000,0.110000,1507900
2/27/2020,0.105000,0.110000,0.100000,0.100000,0.100000,3473900
2/28/2020,0.100000,0.100000,0.090000,0.095000,0.095000,1893400
3/2/2020,0.095000,0.095000,0.090000,0.090000,0.090000,1507500
3/3/2020,0.090000,0.095000,0.090000,0.090000,0.090000,1173300
3/4/2020,0.090000,0.095000,0.085000,0.090000,0.090000,1607700
3/5/2020,0.095000,0.105000,0.095000,0.100000,0.100000,2446700
3/6/2020,0.100000,0.100000,0.095000,0.100000,0.100000,510000
3/9/2020,0.090000,0.090000,0.080000,0.080000,0.080000,1437300
3/10/2020,0.075000,0.080000,0.070000,0.080000,0.080000,1597800
3/11/2020,0.080000,0.085000,0.075000,0.080000,0.080000,862700
3/12/2020,0.075000,0.080000,0.075000,0.075000,0.075000,1114700
3/13/2020,0.075000,0.075000,0.075000,0.075000,0.075000,0
3/16/2020,0.075000,0.075000,0.065000,0.065000,0.065000,928500
3/17/2020,0.060000,0.065000,0.055000,0.065000,0.065000,702000
3/18/2020,0.065000,0.065000,0.055000,0.060000,0.060000,67600
3/19/2020,0.060000,0.060000,0.050000,0.055000,0.055000,2087000
3/20/2020,0.055000,0.075000,0.055000,0.075000,0.075000,1123000
3/23/2020,0.070000,0.070000,0.055000,0.060000,0.060000,293100
3/24/2020,0.065000,0.065000,0.060000,0.065000,0.065000,388300
3/25/2020,0.070000,0.075000,0.065000,0.070000,0.070000,1576400
3/26/2020,0.070000,0.085000,0.070000,0.080000,0.080000,1096100
3/27/2020,0.085000,0.085000,0.080000,0.080000,0.080000,391800
3/30/2020,0.080000,0.080000,0.070000,0.080000,0.080000,355300
3/31/2020,0.080000,0.085000,0.075000,0.080000,0.080000,258500
4/1/2020,0.080000,0.085000,0.075000,0.075000,0.075000,1318200
4/2/2020,0.080000,0.080000,0.075000,0.080000,0.080000,325600
4/3/2020,0.080000,0.080000,0.070000,0.075000,0.075000,786600
4/6/2020,0.080000,0.090000,0.080000,0.085000,0.085000,1925500
4/7/2020,0.085000,0.090000,0.080000,0.090000,0.090000,870900
4/8/2020,0.085000,0.090000,0.080000,0.085000,0.085000,1243400
4/9/2020,0.090000,0.090000,0.085000,0.085000,0.085000,982000
4/10/2020,0.085000,0.085000,0.075000,0.075000,0.075000,1054500
4/13/2020,0.075000,0.080000,0.075000,0.075000,0.075000,250400
4/14/2020,0.075000,0.080000,0.075000,0.075000,0.075000,554700
4/15/2020,0.080000,0.080000,0.075000,0.080000,0.080000,76200
4/16/2020,0.075000,0.075000,0.075000,0.075000,0.075000,322100
4/17/2020,0.080000,0.085000,0.080000,0.080000,0.080000,766400
4/20/2020,0.085000,0.090000,0.085000,0.085000,0.085000,1323300
4/21/2020,0.080000,0.085000,0.080000,0.085000,0.085000,134300
4/22/2020,0.080000,0.080000,0.075000,0.075000,0.075000,330800
4/23/2020,0.080000,0.085000,0.075000,0.080000,0.080000,541700
4/24/2020,0.085000,0.085000,0.080000,0.080000,0.080000,63600
4/27/2020,0.080000,0.085000,0.080000,0.080000,0.080000,55000
4/28/2020,0.085000,0.085000,0.080000,0.085000,0.085000,98200
4/29/2020,0.080000,0.085000,0.080000,0.080000,0.080000,90700
4/30/2020,0.080000,0.090000,0.080000,0.090000,0.090000,316000
5/4/2020,0.085000,0.090000,0.080000,0.090000,0.090000,83800
5/5/2020,0.085000,0.085000,0.080000,0.085000,0.085000,333300
5/6/2020,0.090000,0.135000,0.090000,0.130000,0.130000,14427900
5/8/2020,0.140000,0.140000,0.115000,0.115000,0.115000,6660200
5/12/2020,0.115000,0.120000,0.115000,0.120000,0.120000,2095400
5/13/2020,0.120000,0.120000,0.110000,0.110000,0.110000,2763100
5/14/2020,0.110000,0.110000,0.100000,0.105000,0.105000,2447900
5/15/2020,0.105000,0.125000,0.105000,0.110000,0.110000,6827700
5/18/2020,0.115000,0.120000,0.110000,0.120000,0.120000,2397600
5/19/2020,0.120000,0.130000,0.110000,0.130000,0.130000,11667700
5/20/2020,0.130000,0.135000,0.115000,0.115000,0.115000,9065400
5/21/2020,0.120000,0.125000,0.115000,0.115000,0.115000,3010400
5/22/2020,0.120000,0.125000,0.110000,0.120000,0.120000,2358100
5/27/2020,0.115000,0.120000,0.110000,0.110000,0.110000,1781000
5/28/2020,0.115000,0.115000,0.110000,0.110000,0.110000,1182700
5/29/2020,0.110000,0.115000,0.110000,0.115000,0.115000,1143800
6/2/2020,0.115000,0.115000,0.115000,0.115000,0.115000,0
6/3/2020,0.110000,0.120000,0.110000,0.115000,0.115000,3970300
6/4/2020,0.120000,0.125000,0.110000,0.115000,0.115000,2961600
6/5/2020,0.115000,0.120000,0.110000,0.115000,0.115000,1431400
6/9/2020,0.115000,0.120000,0.110000,0.110000,0.110000,1485500
6/10/2020,0.110000,0.115000,0.110000,0.110000,0.110000,1740200
6/11/2020,0.110000,0.115000,0.110000,0.110000,0.110000,1462100
6/12/2020,0.100000,0.110000,0.100000,0.105000,0.105000,901600
6/15/2020,0.105000,0.105000,0.095000,0.100000,0.100000,1245200
6/16/2020,0.105000,0.105000,0.100000,0.105000,0.105000,578500
6/17/2020,0.105000,0.105000,0.100000,0.105000,0.105000,156400
6/18/2020,0.105000,0.105000,0.100000,0.100000,0.100000,589900
6/19/2020,0.105000,0.115000,0.100000,0.105000,0.105000,2094700
6/22/2020,0.110000,0.115000,0.105000,0.110000,0.110000,1107200
6/23/2020,0.110000,0.110000,0.105000,0.110000,0.110000,699000
6/24/2020,0.110000,0.110000,0.105000,0.105000,0.105000,644700
6/25/2020,0.105000,0.105000,0.100000,0.105000,0.105000,284500
6/26/2020,0.110000,0.110000,0.100000,0.105000,0.105000,2036600
6/29/2020,0.105000,0.105000,0.095000,0.105000,0.105000,637600
6/30/2020,0.105000,0.105000,0.095000,0.100000,0.100000,244500
7/1/2020,0.100000,0.100000,0.100000,0.100000,0.100000,357300
7/2/2020,0.100000,0.110000,0.100000,0.105000,0.105000,1560800
7/3/2020,0.105000,0.110000,0.100000,0.105000,0.105000,629300
7/6/2020,0.105000,0.105000,0.100000,0.105000,0.105000,777100
7/7/2020,0.105000,0.105000,0.100000,0.105000,0.105000,721200
7/8/2020,0.105000,0.105000,0.100000,0.105000,0.105000,318600
7/9/2020,0.100000,0.110000,0.100000,0.105000,0.105000,965500
7/10/2020,0.105000,0.105000,0.100000,0.100000,0.100000,243000
7/13/2020,0.105000,0.125000,0.100000,0.125000,0.125000,8150000
7/14/2020,0.125000,0.125000,0.110000,0.110000,0.110000,4068700
7/15/2020,0.110000,0.115000,0.105000,0.115000,0.115000,2350000
7/16/2020,0.115000,0.115000,0.110000,0.110000,0.110000,1021000
7/17/2020,0.110000,0.120000,0.105000,0.120000,0.120000,5331500
7/20/2020,0.120000,0.130000,0.115000,0.115000,0.115000,13093600
7/21/2020,0.115000,0.120000,0.110000,0.115000,0.115000,2985400
7/22/2020,0.115000,0.120000,0.115000,0.120000,0.120000,2149200
7/23/2020,0.120000,0.120000,0.110000,0.120000,0.120000,2070900
7/24/2020,0.115000,0.130000,0.115000,0.130000,0.130000,11479000
7/27/2020,0.130000,0.135000,0.120000,0.130000,0.130000,9147000
7/28/2020,0.130000,0.130000,0.120000,0.120000,0.120000,6883000
7/29/2020,0.120000,0.125000,0.115000,0.120000,0.120000,3979500
7/30/2020,0.115000,0.120000,0.110000,0.115000,0.115000,1173200
8/3/2020,0.120000,0.120000,0.110000,0.110000,0.110000,1801100
8/4/2020,0.110000,0.120000,0.110000,0.115000,0.115000,5222400
8/5/2020,0.115000,0.130000,0.115000,0.125000,0.125000,8346700
8/6/2020,0.130000,0.130000,0.120000,0.125000,0.125000,2628500
